Thread 1: 10:19:02.341, Counter: 83
Thread 2: 10:19:02.451, Counter: 83
Thread 1: 10:19:02.604, Counter: 84
Thread 3: 10:19:02.634, Counter: 84
Thread 1: 10:19:02.868, Counter: 85
Thread 2: 10:19:02.962, Counter: 85
Thread 1: 10:19:03.132, Counter: 86
Thread 1: 10:19:03.396, Counter: 87
Thread 2: 10:19:03.472, Counter: 87
Thread 3: 10:19:03.644, Counter: 87
Thread 1: 10:19:03.659, Counter: 88
Thread 1: 10:19:03.924, Counter: 89
Thread 2: 10:19:03.987, Counter: 89
Thread 1: 10:19:04.187, Counter: 90
Thread 1: 10:19:04.450, Counter: 91
Thread 2: 10:19:04.495, Counter: 91
Thread 3: 10:19:04.649, Counter: 91
Thread 1: 10:19:04.712, Counter: 92
Thread 1: 10:19:04.976, Counter: 93
Thread 2: 10:19:05.007, Counter: 93
Thread 1: 10:19:05.240, Counter: 94
Thread 1: 10:19:05.492, Counter: 95
Thread 2: 10:19:05.522, Counter: 95
Thread 3: 10:19:05.662, Counter: 95
Thread 1: 10:19:05.756, Counter: 96
Thread 1: 10:19:06.019, Counter: 97
Thread 2: 10:19:06.034, Counter: 97
Thread 1: 10:19:06.281, Counter: 98
Thread 1: 10:19:06.547, Counter: 99
Thread 2: 10:19:06.547, Counter: 99
